src,dest,EdgeType
ABL1,ABL1-PROT,Gene-Gene-PROT
ABL2,ABL2-PROT,Gene-Gene-PROT
ACOX1,ACOX1-PROT,Gene-Gene-PROT
ACOX2,ACOX2-PROT,Gene-Gene-PROT
ACSBG1,ACSBG1-PROT,Gene-Gene-PROT
ADCY2,ADCY2-PROT,Gene-Gene-PROT
ADCY3,ADCY3-PROT,Gene-Gene-PROT
ADCY5,ADCY5-PROT,Gene-Gene-PROT
ADCY8,ADCY8-PROT,Gene-Gene-PROT
ADCY9,ADCY9-PROT,Gene-Gene-PROT
ADRA1B,GNA11,Gene-Gene
ADRA1B,GNAQ,Gene-Gene
ADRA1B,ADRA1B-PROT,Gene-Gene-PROT
ADRA2A,GNA11,Gene-Gene
ADRA2A,GNAQ,Gene-Gene
ADRA2A,ADRA2A-PROT,Gene-Gene-PROT
AKT2,FOXO3,Gene-Gene
AKT2,GSK3B,Gene-Gene
AKT2,MAPK1,Gene-Gene
AKT2,NFKBIB,Gene-Gene
AKT2,NOS1,Gene-Gene
AKT2,RELA,Gene-Gene
AKT2,TBC1D4,Gene-Gene
AKT2,TSC1,Gene-Gene
AKT2,AKT2-PROT,Gene-Gene-PROT
AKT3,FOXO3,Gene-Gene
AKT3,GSK3B,Gene-Gene
AKT3,MAPK1,Gene-Gene
AKT3,NFKBIB,Gene-Gene
AKT3,NOS1,Gene-Gene
AKT3,RELA,Gene-Gene
AKT3,TBC1D4,Gene-Gene
AKT3,TSC1,Gene-Gene
AKT3,AKT3-PROT,Gene-Gene-PROT
ANAPC5,ANAPC5-PROT,Gene-Gene-PROT
ARHGEF12,MRAS,Gene-Gene
ARHGEF12,RHOA,Gene-Gene
ARHGEF12,ARHGEF12-PROT,Gene-Gene-PROT
ARRB1,ARRB1-PROT,Gene-Gene-PROT
ATG16L1,GABARAP,Gene-Gene
ATG16L1,ATG16L1-PROT,Gene-Gene-PROT
ATP1B1,ATP1B1-PROT,Gene-Gene-PROT
ATP1B3,ATP1B3-PROT,Gene-Gene-PROT
ATP2B4,ATP2B4-PROT,Gene-Gene-PROT
ATP6V1A,LAMTOR2,Gene-Gene
ATP6V1A,ATP6V1A-PROT,Gene-Gene-PROT
ATP6V1C1,LAMTOR2,Gene-Gene
ATP6V1C1,ATP6V1C1-PROT,Gene-Gene-PROT
ATXN1,ATXN1-PROT,Gene-Gene-PROT
BID,BID-PROT,Gene-Gene-PROT
CAB39,PRKAA1,Gene-Gene
CAB39,PRKAA2,Gene-Gene
CAB39,PRKAB2,Gene-Gene
CAB39,PRKAG2,Gene-Gene
CAB39,STRADA,Gene-Gene
CAB39,CAB39-PROT,Gene-Gene-PROT
CACNA1B,CACNA1B-PROT,Gene-Gene-PROT
CACNA1C,CACNA1C-PROT,Gene-Gene-PROT
CACNA2D2,CACNA2D2-PROT,Gene-Gene-PROT
CACNA2D3,CACNA2D3-PROT,Gene-Gene-PROT
CACNG2,CACNG2-PROT,Gene-Gene-PROT
CACNG7,CACNG7-PROT,Gene-Gene-PROT
CACNG8,CACNG8-PROT,Gene-Gene-PROT
CAMK1D,CAMK1D-PROT,Gene-Gene-PROT
CAMK2A,ADCY2,Gene-Gene
CAMK2A,ADCY3,Gene-Gene
CAMK2A,ADCY5,Gene-Gene
CAMK2A,ADCY8,Gene-Gene
CAMK2A,ADCY9,Gene-Gene
CAMK2A,CREBBP,Gene-Gene
CAMK2A,PDE10A,Gene-Gene
CAMK2A,PDE4B,Gene-Gene
CAMK2A,PDE4D,Gene-Gene
CAMK2A,CAMK2A-PROT,Gene-Gene-PROT
CAMK2G,ADCY2,Gene-Gene
CAMK2G,ADCY3,Gene-Gene
CAMK2G,ADCY5,Gene-Gene
CAMK2G,ADCY8,Gene-Gene
CAMK2G,ADCY9,Gene-Gene
CAMK2G,CREBBP,Gene-Gene
CAMK2G,PDE10A,Gene-Gene
CAMK2G,PDE4B,Gene-Gene
CAMK2G,PDE4D,Gene-Gene
CAMK2G,CAMK2G-PROT,Gene-Gene-PROT
CHD8,CHD8-PROT,Gene-Gene-PROT
CHRM3,GNA11,Gene-Gene
CHRM3,GNAL,Gene-Gene
CHRM3,GNAQ,Gene-Gene
CHRM3,CHRM3-PROT,Gene-Gene-PROT
COL2A1,ITGA1,Gene-Gene
COL2A1,ITGA2,Gene-Gene
COL2A1,ITGA6,Gene-Gene
COL2A1,ITGAV,Gene-Gene
COL2A1,ITGB1,Gene-Gene
COL2A1,ITGB5,Gene-Gene
COL2A1,PTK2,Gene-Gene
COL2A1,COL2A1-PROT,Gene-Gene-PROT
COL4A1,ITGA1,Gene-Gene
COL4A1,ITGA2,Gene-Gene
COL4A1,ITGA6,Gene-Gene
COL4A1,ITGAV,Gene-Gene
COL4A1,ITGB1,Gene-Gene
COL4A1,ITGB5,Gene-Gene
COL4A1,PTK2,Gene-Gene
COL4A1,COL4A1-PROT,Gene-Gene-PROT
COL4A2,ITGA1,Gene-Gene
COL4A2,ITGA2,Gene-Gene
COL4A2,ITGA6,Gene-Gene
COL4A2,ITGAV,Gene-Gene
COL4A2,ITGB1,Gene-Gene
COL4A2,ITGB5,Gene-Gene
COL4A2,PTK2,Gene-Gene
COL4A2,COL4A2-PROT,Gene-Gene-PROT
COL6A3,ITGA1,Gene-Gene
COL6A3,ITGA2,Gene-Gene
COL6A3,ITGA6,Gene-Gene
COL6A3,ITGAV,Gene-Gene
COL6A3,ITGB1,Gene-Gene
COL6A3,ITGB5,Gene-Gene
COL6A3,PTK2,Gene-Gene
COL6A3,COL6A3-PROT,Gene-Gene-PROT
CPT2,CPT2-PROT,Gene-Gene-PROT
CREBBP,HK1,Gene-Gene
CREBBP,LDHA,Gene-Gene
CREBBP,LDHB,Gene-Gene
CREBBP,NCOA1,Gene-Gene
CREBBP,PFKP,Gene-Gene
CREBBP,STAT5B,Gene-Gene
CREBBP,TFRC,Gene-Gene
CREBBP,CREBBP-PROT,Gene-Gene-PROT
CRKL,ABL1,Gene-Gene
CRKL,ABL2,Gene-Gene
CRKL,PTK2,Gene-Gene
CRKL,RAPGEF1,Gene-Gene
CRKL,CRKL-PROT,Gene-Gene-PROT
CSNK1G1,CSNK1G1-PROT,Gene-Gene-PROT
CSNK1G2,CSNK1G2-PROT,Gene-Gene-PROT
CSNK2A1,CSNK2A1-PROT,Gene-Gene-PROT
CTNNA1,YWHAG,Gene-Gene
CTNNA1,CTNNA1-PROT,Gene-Gene-PROT
CTNNA2,YWHAG,Gene-Gene
CTNNA2,CTNNA2-PROT,Gene-Gene-PROT
CTNNA3,YWHAG,Gene-Gene
CTNNA3,CTNNA3-PROT,Gene-Gene-PROT
