Gene_num,Gene_name,NodeType
0,ABL1,Gene
1,ABL2,Gene
2,ACAA1,Gene
3,ACACA,Gene
4,ACACB,Gene
5,ACADL,Gene
6,ACADM,Gene
7,ACOX1,Gene
8,ACOX2,Gene
9,ACOX3,Gene
10,ACSBG1,Gene
11,ACSBG2,Gene
12,ACSL1,Gene
13,ACSL3,Gene
14,ACSL4,Gene
15,ACSL5,Gene
16,ACSL6,Gene
17,ACTA2,Gene
18,ACTB,Gene
19,ACTG1,Gene
20,ACVR1,Gene
21,ACVR1B,Gene
22,ACVR1C,Gene
23,ACVR2A,Gene
24,ACVR2B,Gene
25,ADAM17,Gene
26,ADCY1,Gene
27,ADCY10,Gene
28,ADCY2,Gene
29,ADCY3,Gene
30,ADCY4,Gene
31,ADCY5,Gene
32,ADCY6,Gene
33,ADCY7,Gene
34,ADCY8,Gene
35,ADCY9,Gene
36,ADCYAP1,Gene
37,ADCYAP1R1,Gene
38,ADGRB1,Gene
39,ADIPOQ,Gene
40,ADIPOR1,Gene
41,ADIPOR2,Gene
42,ADORA1,Gene
43,ADORA2A,Gene
44,ADORA2B,Gene
45,ADORA3,Gene
46,ADRA1A,Gene
47,ADRA1B,Gene
48,ADRA1D,Gene
49,ADRA2A,Gene
50,ADRA2B,Gene
51,ADRA2C,Gene
52,ADRB1,Gene
53,ADRB2,Gene
54,ADRB3,Gene
55,AFDN,Gene
56,AFP,Gene
57,AGAP2,Gene
58,AGER,Gene
59,AGRP,Gene
60,AGT,Gene
61,AGTR1,Gene
62,AIFM2,Gene
63,AIM2,Gene
64,AJUBA,Gene
65,AKT1,Gene
66,AKT1S1,Gene
67,AKT2,Gene
68,AKT3,Gene
69,ALDOA,Gene
70,ALDOB,Gene
71,ALDOC,Gene
72,AMH,Gene
73,AMHR2,Gene
74,AMOT,Gene
75,ANAPC5,Gene
76,ANGPT1,Gene
77,ANGPT2,Gene
78,ANGPT4,Gene
79,ANGPTL4,Gene
80,AOX1,Gene
81,APAF1,Gene
82,APBB1IP,Gene
83,APC,Gene
84,APC2,Gene
85,APH1A,Gene
86,APH1B,Gene
87,APLN,Gene
88,APLNR,Gene
89,APOA1,Gene
90,APOA2,Gene
91,APOA5,Gene
92,APOC3,Gene
93,AQP7,Gene
94,ARAF,Gene
95,ARAP3,Gene
96,AREG,Gene
97,ARF1,Gene
98,ARF6,Gene
99,ARHGDIA,Gene
100,ARHGDIB,Gene
101,ARHGDIG,Gene
102,ARHGEF12,Gene
103,ARNT,Gene
104,ARRB1,Gene
105,ARRB2,Gene
106,ASPH,Gene
107,ATF2,Gene
108,ATF4,Gene
109,ATF6B,Gene
110,ATG12,Gene
111,ATG16L1,Gene
112,ATG5,Gene
113,ATM,Gene
114,ATP1A1,Gene
115,ATP1A2,Gene
116,ATP1A3,Gene
117,ATP1A4,Gene
118,ATP1B1,Gene
119,ATP1B2,Gene
120,ATP1B3,Gene
121,ATP1B4,Gene
122,ATP2A1,Gene
123,ATP2A2,Gene
124,ATP2A3,Gene
125,ATP2B1,Gene
126,ATP2B2,Gene
127,ATP2B3,Gene
128,ATP2B4,Gene
129,ATP6V1A,Gene
130,ATP6V1B1,Gene
131,ATP6V1B2,Gene
132,ATP6V1C1,Gene
133,ATP6V1C2,Gene
134,ATP6V1D,Gene
135,ATP6V1E1,Gene
136,ATP6V1E2,Gene
137,ATP6V1F,Gene
138,ATP6V1G1,Gene
139,ATP6V1G2,Gene
140,ATP6V1G3,Gene
141,ATP6V1H,Gene
142,ATR,Gene
143,ATXN1,Gene
144,ATXN1L,Gene
145,AVP,Gene
146,AVPR1A,Gene
147,AVPR1B,Gene
148,AVPR2,Gene
149,AXIN1,Gene
150,AXIN2,Gene
151,AZI2,Gene
152,BAD,Gene
153,BAG4,Gene
154,BAMBI,Gene
155,BAX,Gene
156,BBC3,Gene
157,BCAR1,Gene
158,BCL10,Gene
159,BCL2,Gene
160,BCL2A1,Gene
161,BCL2L1,Gene
162,BCL2L11,Gene
163,BCL3,Gene
164,BCL6,Gene
165,BDKRB1,Gene
166,BDKRB2,Gene
