src,dest,EdgeType
AKT1,CDKN1B,Gene-Gene
APLN,APLNR,Gene-Gene
APLNR,APLN,Gene-Gene
ATF2,ATF4,Gene-Gene
ATF4,ATF2,Gene-Gene
ATG12,ATG16L1,Gene-Gene
ATG12,ATG5,Gene-Gene
ATG16L1,ATG12,Gene-Gene
ATG16L1,ATG5,Gene-Gene
ATG5,ATG12,Gene-Gene
ATG5,ATG16L1,Gene-Gene
AXIN2,CSNK1A1,Gene-Gene
BMP6,BMPR2,Gene-Gene
BMPR2,BMP6,Gene-Gene
CALM3,CALML6,Gene-Gene
CALM3,CAMK1,Gene-Gene
CALML5,CALML6,Gene-Gene
CALML5,CAMK1,Gene-Gene
CALML6,CALM3,Gene-Gene
CALML6,CALML5,Gene-Gene
CAMK1,CALM3,Gene-Gene
CAMK1,CALML5,Gene-Gene
CDKN1B,AKT1,Gene-Gene
CSNK1A1,AXIN2,Gene-Gene
