src,dest,EdgeType
18,1258,Gene-Gene
18,1259,Gene-Gene
18,1260,Gene-Gene
18,1860,Gene-Gene
19,1258,Gene-Gene
19,1259,Gene-Gene
19,1260,Gene-Gene
19,1860,Gene-Gene
20,23,Gene-Gene
20,180,Gene-Gene
20,1169,Gene-Gene
20,1171,Gene-Gene
20,1172,Gene-Gene
20,1173,Gene-Gene
20,1174,Gene-Gene
20,1176,Gene-Gene
20,1276,Gene-Gene
20,1802,Gene-Gene
20,1803,Gene-Gene
20,1804,Gene-Gene
20,1806,Gene-Gene
20,1809,Gene-Gene
21,1803,Gene-Gene
21,1804,Gene-Gene
22,1803,Gene-Gene
22,1804,Gene-Gene
23,1803,Gene-Gene
23,1804,Gene-Gene
24,1803,Gene-Gene
24,1804,Gene-Gene
25,1307,Gene-Gene
25,1308,Gene-Gene
25,1309,Gene-Gene
25,1310,Gene-Gene
26,1547,Gene-Gene
26,1548,Gene-Gene
26,1549,Gene-Gene
28,1547,Gene-Gene
28,1548,Gene-Gene
28,1549,Gene-Gene
29,1547,Gene-Gene
29,1548,Gene-Gene
29,1549,Gene-Gene
30,1547,Gene-Gene
30,1548,Gene-Gene
30,1549,Gene-Gene
31,1547,Gene-Gene
31,1548,Gene-Gene
31,1549,Gene-Gene
32,1547,Gene-Gene
32,1548,Gene-Gene
32,1549,Gene-Gene
33,1547,Gene-Gene
33,1548,Gene-Gene
33,1549,Gene-Gene
34,1547,Gene-Gene
34,1548,Gene-Gene
34,1549,Gene-Gene
35,1547,Gene-Gene
35,1548,Gene-Gene
35,1549,Gene-Gene
36,37,Gene-Gene
36,42,Gene-Gene
36,51,Gene-Gene
36,512,Gene-Gene
36,514,Gene-Gene
36,669,Gene-Gene
36,713,Gene-Gene
36,719,Gene-Gene
36,753,Gene-Gene
36,851,Gene-Gene
36,853,Gene-Gene
36,1100,Gene-Gene
36,1193,Gene-Gene
36,1317,Gene-Gene
36,1584,Gene-Gene
36,1991,Gene-Gene
36,2019,Gene-Gene
37,731,Gene-Gene
38,39,Gene-Gene
38,40,Gene-Gene
39,234,Gene-Gene
39,1493,Gene-Gene
39,1859,Gene-Gene
40,234,Gene-Gene
40,1493,Gene-Gene
40,1859,Gene-Gene
41,725,Gene-Gene
41,726,Gene-Gene
41,727,Gene-Gene
42,728,Gene-Gene
42,730,Gene-Gene
42,731,Gene-Gene
43,728,Gene-Gene
43,730,Gene-Gene
43,731,Gene-Gene
44,725,Gene-Gene
44,726,Gene-Gene
44,727,Gene-Gene
45,720,Gene-Gene
45,721,Gene-Gene
45,722,Gene-Gene
45,723,Gene-Gene
45,724,Gene-Gene
45,730,Gene-Gene
45,1543,Gene-Gene
45,1544,Gene-Gene
45,1545,Gene-Gene
45,1546,Gene-Gene
45,1550,Gene-Gene
45,1551,Gene-Gene
45,1552,Gene-Gene
45,1986,Gene-Gene
46,720,Gene-Gene
46,721,Gene-Gene
46,722,Gene-Gene
46,723,Gene-Gene
46,724,Gene-Gene
46,730,Gene-Gene
46,1986,Gene-Gene
47,720,Gene-Gene
47,721,Gene-Gene
47,722,Gene-Gene
47,723,Gene-Gene
47,724,Gene-Gene
47,730,Gene-Gene
47,1986,Gene-Gene
48,720,Gene-Gene
48,721,Gene-Gene
48,722,Gene-Gene
48,730,Gene-Gene
48,1986,Gene-Gene
49,720,Gene-Gene
49,721,Gene-Gene
49,722,Gene-Gene
49,730,Gene-Gene
49,1986,Gene-Gene
50,720,Gene-Gene
50,721,Gene-Gene
50,722,Gene-Gene
50,730,Gene-Gene
50,1986,Gene-Gene
51,725,Gene-Gene
51,726,Gene-Gene
51,727,Gene-Gene
51,728,Gene-Gene
51,731,Gene-Gene
52,725,Gene-Gene
52,726,Gene-Gene
52,727,Gene-Gene
52,728,Gene-Gene
52,731,Gene-Gene
53,725,Gene-Gene
53,726,Gene-Gene
53,727,Gene-Gene
53,728,Gene-Gene
53,731,Gene-Gene
55,1425,Gene-Gene
55,1426,Gene-Gene
55,1427,Gene-Gene
55,1429,Gene-Gene
55,1430,Gene-Gene
55,1431,Gene-Gene
56,496,Gene-Gene
56,1000,Gene-Gene
56,1312,Gene-Gene
56,1313,Gene-Gene
56,1425,Gene-Gene
56,1426,Gene-Gene
56,1427,Gene-Gene
56,1429,Gene-Gene
56,1430,Gene-Gene
56,1431,Gene-Gene
56,1465,Gene-Gene
56,1466,Gene-Gene
56,1467,Gene-Gene
56,1468,Gene-Gene
56,1469,Gene-Gene
56,1470,Gene-Gene
56,1471,Gene-Gene
56,1472,Gene-Gene
56,1473,Gene-Gene
56,1474,Gene-Gene
56,1558,Gene-Gene
58,59,Gene-Gene
58,143,Gene-Gene
58,144,Gene-Gene
58,145,Gene-Gene
58,455,Gene-Gene
58,456,Gene-Gene
58,597,Gene-Gene
58,777,Gene-Gene
58,778,Gene-Gene
58,779,Gene-Gene
58,780,Gene-Gene
58,781,Gene-Gene
58,782,Gene-Gene
58,783,Gene-Gene
58,784,Gene-Gene
58,1117,Gene-Gene
58,1118,Gene-Gene
58,1119,Gene-Gene
58,1120,Gene-Gene
58,1121,Gene-Gene
58,1122,Gene-Gene
58,1586,Gene-Gene
59,720,Gene-Gene
59,721,Gene-Gene
59,722,Gene-Gene
59,723,Gene-Gene
59,724,Gene-Gene
59,730,Gene-Gene
59,731,Gene-Gene
59,1465,Gene-Gene
59,1466,Gene-Gene
59,1467,Gene-Gene
59,1468,Gene-Gene
59,1748,Gene-Gene
59,1908,Gene-Gene
59,1909,Gene-Gene
59,1910,Gene-Gene
59,1986,Gene-Gene
61,1600,Gene-Gene
62,1080,Gene-Gene
62,1081,Gene-Gene
62,1738,Gene-Gene
63,64,Gene-Gene
63,104,Gene-Gene
63,105,Gene-Gene
63,106,Gene-Gene
63,149,Gene-Gene
63,156,Gene-Gene
63,185,Gene-Gene
63,253,Gene-Gene
63,335,Gene-Gene
63,336,Gene-Gene
63,356,Gene-Gene
63,397,Gene-Gene
63,398,Gene-Gene
63,399,Gene-Gene
63,400,Gene-Gene
63,401,Gene-Gene
63,402,Gene-Gene
63,403,Gene-Gene
63,659,Gene-Gene
63,660,Gene-Gene
63,661,Gene-Gene
63,787,Gene-Gene
63,788,Gene-Gene
63,879,Gene-Gene
63,881,Gene-Gene
63,1149,Gene-Gene
63,1161,Gene-Gene
63,1164,Gene-Gene
63,1169,Gene-Gene
63,1176,Gene-Gene
63,1198,Gene-Gene
63,1247,Gene-Gene
63,1283,Gene-Gene
63,1285,Gene-Gene
63,1286,Gene-Gene
63,1287,Gene-Gene
63,1304,Gene-Gene
63,1305,Gene-Gene
63,1306,Gene-Gene
63,1324,Gene-Gene
63,1377,Gene-Gene
63,1397,Gene-Gene
63,1502,Gene-Gene
63,1503,Gene-Gene
63,1504,Gene-Gene
63,1509,Gene-Gene
63,1510,Gene-Gene
63,1511,Gene-Gene
63,1512,Gene-Gene
