Gene_num,Gene_name,NodeType
0,ABL1,Gene
1,ABL2,Gene
2,ACAA1,Gene
3,ACACA,Gene
4,ACACB,Gene
5,ACADL,Gene
6,ACADM,Gene
7,ACOX1,Gene
8,ACOX2,Gene
9,ACOX3,Gene
10,ACSBG1,Gene
11,ACSBG2,Gene
12,ACSL1,Gene
13,ACSL3,Gene
14,ACSL4,Gene
15,ACSL5,Gene
16,ACSL6,Gene
17,ACTA2,Gene
18,ACTB,Gene
19,ACTG1,Gene
20,ACVR1,Gene
21,ACVR1B,Gene
22,ACVR1C,Gene
23,ACVR2A,Gene
24,ACVR2B,Gene
25,ADAM17,Gene
26,ADCY1,Gene
27,ADCY10,Gene
28,ADCY2,Gene
29,ADCY3,Gene
30,ADCY4,Gene
31,ADCY5,Gene
32,ADCY6,Gene
33,ADCY7,Gene
34,ADCY8,Gene
35,ADCY9,Gene
36,ADCYAP1,Gene
37,ADCYAP1R1,Gene
38,ADIPOQ,Gene
39,ADIPOR1,Gene
40,ADIPOR2,Gene
41,ADORA1,Gene
42,ADORA2A,Gene
43,ADORA2B,Gene
44,ADORA3,Gene
45,ADRA1A,Gene
46,ADRA1B,Gene
47,ADRA1D,Gene
48,ADRA2A,Gene
49,ADRA2B,Gene
50,ADRA2C,Gene
51,ADRB1,Gene
52,ADRB2,Gene
53,ADRB3,Gene
54,AFP,Gene
55,AGAP2,Gene
56,AGER,Gene
57,AGRP,Gene
58,AGT,Gene
59,AGTR1,Gene
60,AIFM2,Gene
61,AIM2,Gene
62,AJUBA,Gene
63,AKT1,Gene
64,AKT1S1,Gene
65,AKT2,Gene
66,AKT3,Gene
67,ALDOA,Gene
68,ALDOB,Gene
69,ALDOC,Gene
70,AMH,Gene
71,AMHR2,Gene
72,AMOT,Gene
73,ANAPC5,Gene
74,ANGPT1,Gene
75,ANGPT2,Gene
76,ANGPT4,Gene
77,ANGPTL4,Gene
78,AOX1,Gene
79,APAF1,Gene
80,APBB1IP,Gene
81,APC,Gene
82,APC2,Gene
83,APH1A,Gene
84,APH1B,Gene
85,APLN,Gene
86,APLNR,Gene
87,APOA1,Gene
88,APOA2,Gene
89,APOA5,Gene
90,APOC3,Gene
91,AQP7,Gene
92,ARAF,Gene
93,ARAP3,Gene
94,AREG,Gene
95,ARF1,Gene
96,ARF6,Gene
97,ARHGDIA,Gene
98,ARHGDIB,Gene
99,ARHGEF12,Gene
100,ARNT,Gene
101,ARRB1,Gene
102,ARRB2,Gene
103,ASPH,Gene
104,ATF2,Gene
105,ATF4,Gene
106,ATF6B,Gene
107,ATG12,Gene
108,ATG16L1,Gene
109,ATG5,Gene
110,ATM,Gene
111,ATP1A1,Gene
112,ATP1A2,Gene
113,ATP1A3,Gene
114,ATP1A4,Gene
115,ATP1B1,Gene
116,ATP1B2,Gene
117,ATP1B3,Gene
118,ATP1B4,Gene
119,ATP2A1,Gene
120,ATP2A2,Gene
121,ATP2A3,Gene
122,ATP2B1,Gene
123,ATP2B2,Gene
124,ATP2B3,Gene
125,ATP2B4,Gene
126,ATP6V1A,Gene
127,ATP6V1B1,Gene
128,ATP6V1B2,Gene
129,ATP6V1C1,Gene
130,ATP6V1C2,Gene
131,ATP6V1D,Gene
132,ATP6V1E1,Gene
133,ATP6V1E2,Gene
134,ATP6V1F,Gene
135,ATP6V1G1,Gene
136,ATP6V1G2,Gene
137,ATP6V1G3,Gene
138,ATP6V1H,Gene
139,ATR,Gene
140,ATXN1,Gene
141,ATXN1L,Gene
142,AVP,Gene
143,AVPR1A,Gene
144,AVPR1B,Gene
145,AVPR2,Gene
146,AXIN1,Gene
147,AXIN2,Gene
148,AZI2,Gene
149,BAD,Gene
150,BAG4,Gene
151,BAMBI,Gene
152,BAX,Gene
153,BBC3,Gene
154,BCAR1,Gene
155,BCL10,Gene
156,BCL2,Gene
157,BCL2A1,Gene
158,BCL2L1,Gene
159,BCL2L11,Gene
160,BCL3,Gene
161,BCL6,Gene
162,BDKRB1,Gene
163,BDKRB2,Gene
164,BDNF,Gene
165,BECN1,Gene
166,BID,Gene
