src,dest,EdgeType
ABL1,CRK,Gene-Gene
ABL1,CRKL,Gene-Gene
ABL2,CRK,Gene-Gene
ABL2,CRKL,Gene-Gene
ACACA,PRKAA1,Gene-Gene
ACACB,PRKAA1,Gene-Gene
ACTB,CDC42,Gene-Gene
ACTB,ENAH,Gene-Gene
ACTB,EVL,Gene-Gene
ACTB,PFN1,Gene-Gene
ACTG1,CDC42,Gene-Gene
ACTG1,ENAH,Gene-Gene
ACTG1,EVL,Gene-Gene
ACTG1,PFN1,Gene-Gene
ACVR1,ACVR2A,Gene-Gene
ACVR1,BAMBI,Gene-Gene
ACVR1,BMP2,Gene-Gene
ACVR1,BMP4,Gene-Gene
ACVR1,BMP6,Gene-Gene
ACVR1,BMPR2,Gene-Gene
ACVR1,INHBB,Gene-Gene
ACVR1,MAPK1,Gene-Gene
ACVR1,MAPK11,Gene-Gene
ACVR1,MAPK13,Gene-Gene
ACVR1,SMAD2,Gene-Gene
ACVR1,SMAD5,Gene-Gene
ACVR1B,BAMBI,Gene-Gene
ACVR1B,INHBA,Gene-Gene
ACVR1B,INHBB,Gene-Gene
ACVR1B,INHBC,Gene-Gene
ACVR1B,INHBE,Gene-Gene
ACVR1C,INHBA,Gene-Gene
ACVR1C,INHBB,Gene-Gene
ACVR1C,INHBC,Gene-Gene
ACVR1C,INHBE,Gene-Gene
ACVR2A,ACVR1,Gene-Gene
ACVR2A,BMPR1A,Gene-Gene
ACVR2A,BMPR1B,Gene-Gene
ACVR2A,INHBA,Gene-Gene
ACVR2A,INHBB,Gene-Gene
ACVR2A,INHBC,Gene-Gene
ACVR2A,INHBE,Gene-Gene
ACVR2B,INHBA,Gene-Gene
ACVR2B,INHBB,Gene-Gene
ACVR2B,INHBC,Gene-Gene
ACVR2B,INHBE,Gene-Gene
ADAM17,NOTCH1,Gene-Gene
ADCY1,CALM1,Gene-Gene
ADCY1,CALM2,Gene-Gene
ADCY1,CALM3,Gene-Gene
ADCY1,CALML3,Gene-Gene
ADCY1,CALML4,Gene-Gene
ADCY1,CALML5,Gene-Gene
ADCY1,CALML6,Gene-Gene
ADCY1,CAMK2A,Gene-Gene
ADCY1,CAMK2B,Gene-Gene
ADCY1,CAMK2D,Gene-Gene
ADCY1,CAMK2G,Gene-Gene
ADCY1,CAMK4,Gene-Gene
ADCY1,GNAI1,Gene-Gene
ADCY1,GNAI2,Gene-Gene
ADCY1,GNAI3,Gene-Gene
ADCY1,GNAL,Gene-Gene
ADCY1,GNAO1,Gene-Gene
ADCY1,GNAS,Gene-Gene
ADCY1,GNB1,Gene-Gene
ADCY1,GNB2,Gene-Gene
ADCY1,GNB3,Gene-Gene
ADCY1,GNB4,Gene-Gene
ADCY1,GNB5,Gene-Gene
ADCY1,GNG10,Gene-Gene
ADCY1,GNG11,Gene-Gene
ADCY1,GNG12,Gene-Gene
ADCY1,GNG13,Gene-Gene
ADCY1,GNG2,Gene-Gene
ADCY1,GNG3,Gene-Gene
ADCY1,GNG4,Gene-Gene
ADCY1,GNG5,Gene-Gene
ADCY1,GNG7,Gene-Gene
ADCY1,GNG8,Gene-Gene
ADCY1,GNGT1,Gene-Gene
ADCY1,GNGT2,Gene-Gene
ADCY10,GNAI1,Gene-Gene
ADCY10,GNAI2,Gene-Gene
ADCY10,GNAI3,Gene-Gene
ADCY10,GNB1,Gene-Gene
ADCY10,GNB2,Gene-Gene
ADCY10,GNB3,Gene-Gene
ADCY10,GNB4,Gene-Gene
ADCY10,GNB5,Gene-Gene
ADCY10,GNG10,Gene-Gene
ADCY10,GNG11,Gene-Gene
ADCY10,GNG12,Gene-Gene
ADCY10,GNG13,Gene-Gene
ADCY10,GNG2,Gene-Gene
ADCY10,GNG3,Gene-Gene
ADCY10,GNG4,Gene-Gene
ADCY10,GNG5,Gene-Gene
ADCY10,GNG7,Gene-Gene
ADCY10,GNG8,Gene-Gene
ADCY10,GNGT1,Gene-Gene
ADCY10,GNGT2,Gene-Gene
ADCY2,CALM1,Gene-Gene
ADCY2,CALM2,Gene-Gene
ADCY2,CALM3,Gene-Gene
ADCY2,CALML3,Gene-Gene
ADCY2,CALML4,Gene-Gene
ADCY2,CALML5,Gene-Gene
ADCY2,CALML6,Gene-Gene
ADCY2,CAMK2A,Gene-Gene
ADCY2,CAMK2B,Gene-Gene
ADCY2,CAMK2D,Gene-Gene
ADCY2,CAMK2G,Gene-Gene
ADCY2,CAMK4,Gene-Gene
ADCY2,GNAI1,Gene-Gene
ADCY2,GNAI2,Gene-Gene
ADCY2,GNAI3,Gene-Gene
ADCY2,GNAL,Gene-Gene
ADCY2,GNAO1,Gene-Gene
ADCY2,GNAS,Gene-Gene
ADCY2,GNB1,Gene-Gene
ADCY2,GNB2,Gene-Gene
ADCY2,GNB3,Gene-Gene
ADCY2,GNB4,Gene-Gene
ADCY2,GNB5,Gene-Gene
ADCY2,GNG10,Gene-Gene
ADCY2,GNG11,Gene-Gene
ADCY2,GNG12,Gene-Gene
ADCY2,GNG13,Gene-Gene
ADCY2,GNG2,Gene-Gene
ADCY2,GNG3,Gene-Gene
ADCY2,GNG4,Gene-Gene
ADCY2,GNG5,Gene-Gene
ADCY2,GNG7,Gene-Gene
ADCY2,GNG8,Gene-Gene
ADCY2,GNGT1,Gene-Gene
ADCY2,GNGT2,Gene-Gene
ADCY3,CALM1,Gene-Gene
ADCY3,CALM2,Gene-Gene
ADCY3,CALM3,Gene-Gene
ADCY3,CALML3,Gene-Gene
ADCY3,CALML4,Gene-Gene
ADCY3,CALML5,Gene-Gene
ADCY3,CALML6,Gene-Gene
ADCY3,CAMK2A,Gene-Gene
ADCY3,CAMK2B,Gene-Gene
ADCY3,CAMK2D,Gene-Gene
ADCY3,CAMK2G,Gene-Gene
ADCY3,CAMK4,Gene-Gene
ADCY3,GNAI1,Gene-Gene
ADCY3,GNAI2,Gene-Gene
ADCY3,GNAI3,Gene-Gene
ADCY3,GNAL,Gene-Gene
ADCY3,GNAO1,Gene-Gene
ADCY3,GNAS,Gene-Gene
ADCY3,GNB1,Gene-Gene
ADCY3,GNB2,Gene-Gene
ADCY3,GNB3,Gene-Gene
ADCY3,GNB4,Gene-Gene
ADCY3,GNB5,Gene-Gene
ADCY3,GNG10,Gene-Gene
ADCY3,GNG11,Gene-Gene
ADCY3,GNG12,Gene-Gene
ADCY3,GNG13,Gene-Gene
ADCY3,GNG2,Gene-Gene
ADCY3,GNG3,Gene-Gene
ADCY3,GNG4,Gene-Gene
ADCY3,GNG5,Gene-Gene
ADCY3,GNG7,Gene-Gene
ADCY3,GNG8,Gene-Gene
ADCY3,GNGT1,Gene-Gene
ADCY3,GNGT2,Gene-Gene
ADCY4,CALM1,Gene-Gene
ADCY4,CALM2,Gene-Gene
ADCY4,CALM3,Gene-Gene
ADCY4,CALML3,Gene-Gene
ADCY4,CALML4,Gene-Gene
ADCY4,CALML5,Gene-Gene
ADCY4,CALML6,Gene-Gene
ADCY4,CAMK2A,Gene-Gene
ADCY4,CAMK2B,Gene-Gene
ADCY4,CAMK2D,Gene-Gene
ADCY4,CAMK2G,Gene-Gene
ADCY4,CAMK4,Gene-Gene
ADCY4,GNAI1,Gene-Gene
ADCY4,GNAI2,Gene-Gene
ADCY4,GNAI3,Gene-Gene
ADCY4,GNAL,Gene-Gene
ADCY4,GNAO1,Gene-Gene
ADCY4,GNAS,Gene-Gene
ADCY4,GNB1,Gene-Gene
ADCY4,GNB2,Gene-Gene
ADCY4,GNB3,Gene-Gene
ADCY4,GNB4,Gene-Gene
ADCY4,GNB5,Gene-Gene
ADCY4,GNG10,Gene-Gene
ADCY4,GNG11,Gene-Gene
ADCY4,GNG12,Gene-Gene
ADCY4,GNG13,Gene-Gene
ADCY4,GNG2,Gene-Gene
ADCY4,GNG3,Gene-Gene
ADCY4,GNG4,Gene-Gene
ADCY4,GNG5,Gene-Gene
ADCY4,GNG7,Gene-Gene
ADCY4,GNG8,Gene-Gene
ADCY4,GNGT1,Gene-Gene
ADCY4,GNGT2,Gene-Gene
ADCY5,CALM1,Gene-Gene
ADCY5,CALM2,Gene-Gene
ADCY5,CALM3,Gene-Gene
ADCY5,CALML3,Gene-Gene
ADCY5,CALML4,Gene-Gene
ADCY5,CALML5,Gene-Gene
ADCY5,CALML6,Gene-Gene
ADCY5,CAMK2A,Gene-Gene
ADCY5,CAMK2B,Gene-Gene
ADCY5,CAMK2D,Gene-Gene
ADCY5,CAMK2G,Gene-Gene
ADCY5,CAMK4,Gene-Gene
ADCY5,GNAI1,Gene-Gene
ADCY5,GNAI2,Gene-Gene
ADCY5,GNAI3,Gene-Gene
ADCY5,GNAO1,Gene-Gene
ADCY5,GNAS,Gene-Gene
ADCY5,GNB1,Gene-Gene
ADCY5,GNB2,Gene-Gene
ADCY5,GNB3,Gene-Gene
ADCY5,GNB4,Gene-Gene
ADCY5,GNB5,Gene-Gene
ADCY5,GNG10,Gene-Gene
ADCY5,GNG11,Gene-Gene
ADCY5,GNG12,Gene-Gene
ADCY5,GNG13,Gene-Gene
ADCY5,GNG2,Gene-Gene
ADCY5,GNG3,Gene-Gene
ADCY5,GNG4,Gene-Gene
ADCY5,GNG5,Gene-Gene
ADCY5,GNG7,Gene-Gene
ADCY5,GNG8,Gene-Gene
ADCY5,GNGT1,Gene-Gene
ADCY5,GNGT2,Gene-Gene
ADCY6,CALM1,Gene-Gene
ADCY6,CALM2,Gene-Gene
ADCY6,CALM3,Gene-Gene
ADCY6,CALML3,Gene-Gene
ADCY6,CALML4,Gene-Gene
ADCY6,CALML5,Gene-Gene
ADCY6,CALML6,Gene-Gene
ADCY6,CAMK2A,Gene-Gene
ADCY6,CAMK2B,Gene-Gene
ADCY6,CAMK2D,Gene-Gene
ADCY6,CAMK2G,Gene-Gene
ADCY6,CAMK4,Gene-Gene
ADCY6,GNAI1,Gene-Gene
ADCY6,GNAI2,Gene-Gene
ADCY6,GNAI3,Gene-Gene
ADCY6,GNAO1,Gene-Gene
ADCY6,GNAS,Gene-Gene
ADCY6,GNB1,Gene-Gene
ADCY6,GNB2,Gene-Gene
ADCY6,GNB3,Gene-Gene
ADCY6,GNB4,Gene-Gene
ADCY6,GNB5,Gene-Gene
ADCY6,GNG10,Gene-Gene
ADCY6,GNG11,Gene-Gene
ADCY6,GNG12,Gene-Gene
ADCY6,GNG13,Gene-Gene
ADCY6,GNG2,Gene-Gene
ADCY6,GNG3,Gene-Gene
ADCY6,GNG4,Gene-Gene
ADCY6,GNG5,Gene-Gene
ADCY6,GNG7,Gene-Gene
ADCY6,GNG8,Gene-Gene
ADCY6,GNGT1,Gene-Gene
ADCY6,GNGT2,Gene-Gene
ADCY7,CALM1,Gene-Gene
ADCY7,CALM2,Gene-Gene
ADCY7,CALM3,Gene-Gene
ADCY7,CALML3,Gene-Gene
ADCY7,CALML4,Gene-Gene
ADCY7,CALML5,Gene-Gene
ADCY7,CALML6,Gene-Gene
ADCY7,CAMK2A,Gene-Gene
ADCY7,CAMK2B,Gene-Gene
ADCY7,CAMK2D,Gene-Gene
ADCY7,CAMK2G,Gene-Gene
ADCY7,CAMK4,Gene-Gene
ADCY7,GNAI1,Gene-Gene
ADCY7,GNAI2,Gene-Gene
ADCY7,GNAI3,Gene-Gene
ADCY7,GNAL,Gene-Gene
ADCY7,GNAO1,Gene-Gene
ADCY7,GNAS,Gene-Gene
ADCY7,GNB1,Gene-Gene
ADCY7,GNB2,Gene-Gene
ADCY7,GNB3,Gene-Gene
ADCY7,GNB4,Gene-Gene
ADCY7,GNB5,Gene-Gene
ADCY7,GNG10,Gene-Gene
ADCY7,GNG11,Gene-Gene
ADCY7,GNG12,Gene-Gene
ADCY7,GNG13,Gene-Gene
ADCY7,GNG2,Gene-Gene
ADCY7,GNG3,Gene-Gene
ADCY7,GNG4,Gene-Gene
ADCY7,GNG5,Gene-Gene
ADCY7,GNG7,Gene-Gene
ADCY7,GNG8,Gene-Gene
ADCY7,GNGT1,Gene-Gene
ADCY7,GNGT2,Gene-Gene
ADCY8,CALM1,Gene-Gene
ADCY8,CALM2,Gene-Gene
ADCY8,CALM3,Gene-Gene
ADCY8,CALML3,Gene-Gene
ADCY8,CALML4,Gene-Gene
ADCY8,CALML5,Gene-Gene
ADCY8,CALML6,Gene-Gene
ADCY8,CAMK2A,Gene-Gene
ADCY8,CAMK2B,Gene-Gene
