src,dest,EdgeType
18,1255,Gene-Gene
18,1256,Gene-Gene
18,1257,Gene-Gene
18,1857,Gene-Gene
19,1255,Gene-Gene
19,1256,Gene-Gene
19,1257,Gene-Gene
19,1857,Gene-Gene
20,23,Gene-Gene
20,180,Gene-Gene
20,1166,Gene-Gene
20,1168,Gene-Gene
20,1169,Gene-Gene
20,1170,Gene-Gene
20,1171,Gene-Gene
20,1173,Gene-Gene
20,1273,Gene-Gene
20,1799,Gene-Gene
20,1800,Gene-Gene
20,1801,Gene-Gene
20,1803,Gene-Gene
20,1806,Gene-Gene
21,1800,Gene-Gene
21,1801,Gene-Gene
22,1800,Gene-Gene
22,1801,Gene-Gene
23,1800,Gene-Gene
23,1801,Gene-Gene
24,1800,Gene-Gene
24,1801,Gene-Gene
25,1304,Gene-Gene
25,1305,Gene-Gene
25,1306,Gene-Gene
25,1307,Gene-Gene
26,1544,Gene-Gene
26,1545,Gene-Gene
26,1546,Gene-Gene
28,1544,Gene-Gene
28,1545,Gene-Gene
28,1546,Gene-Gene
29,1544,Gene-Gene
29,1545,Gene-Gene
29,1546,Gene-Gene
30,1544,Gene-Gene
30,1545,Gene-Gene
30,1546,Gene-Gene
31,1544,Gene-Gene
31,1545,Gene-Gene
31,1546,Gene-Gene
32,1544,Gene-Gene
32,1545,Gene-Gene
32,1546,Gene-Gene
33,1544,Gene-Gene
33,1545,Gene-Gene
33,1546,Gene-Gene
34,1544,Gene-Gene
34,1545,Gene-Gene
34,1546,Gene-Gene
35,1544,Gene-Gene
35,1545,Gene-Gene
35,1546,Gene-Gene
36,37,Gene-Gene
36,42,Gene-Gene
36,51,Gene-Gene
36,512,Gene-Gene
36,514,Gene-Gene
36,669,Gene-Gene
36,713,Gene-Gene
36,719,Gene-Gene
36,753,Gene-Gene
36,851,Gene-Gene
36,853,Gene-Gene
36,1098,Gene-Gene
36,1190,Gene-Gene
36,1314,Gene-Gene
36,1581,Gene-Gene
36,1987,Gene-Gene
36,2015,Gene-Gene
37,731,Gene-Gene
38,39,Gene-Gene
38,40,Gene-Gene
39,234,Gene-Gene
39,1490,Gene-Gene
39,1856,Gene-Gene
40,234,Gene-Gene
40,1490,Gene-Gene
40,1856,Gene-Gene
41,725,Gene-Gene
41,726,Gene-Gene
41,727,Gene-Gene
42,728,Gene-Gene
42,730,Gene-Gene
42,731,Gene-Gene
43,728,Gene-Gene
43,730,Gene-Gene
43,731,Gene-Gene
44,725,Gene-Gene
44,726,Gene-Gene
44,727,Gene-Gene
45,720,Gene-Gene
45,721,Gene-Gene
45,722,Gene-Gene
45,723,Gene-Gene
45,724,Gene-Gene
45,730,Gene-Gene
45,1540,Gene-Gene
45,1541,Gene-Gene
45,1542,Gene-Gene
45,1543,Gene-Gene
45,1547,Gene-Gene
45,1548,Gene-Gene
45,1549,Gene-Gene
45,1982,Gene-Gene
46,720,Gene-Gene
46,721,Gene-Gene
46,722,Gene-Gene
46,723,Gene-Gene
46,724,Gene-Gene
46,730,Gene-Gene
46,1982,Gene-Gene
47,720,Gene-Gene
47,721,Gene-Gene
47,722,Gene-Gene
47,723,Gene-Gene
47,724,Gene-Gene
47,730,Gene-Gene
47,1982,Gene-Gene
48,720,Gene-Gene
48,721,Gene-Gene
48,722,Gene-Gene
48,730,Gene-Gene
48,1982,Gene-Gene
49,720,Gene-Gene
49,721,Gene-Gene
49,722,Gene-Gene
49,730,Gene-Gene
49,1982,Gene-Gene
50,720,Gene-Gene
50,721,Gene-Gene
50,722,Gene-Gene
50,730,Gene-Gene
50,1982,Gene-Gene
51,725,Gene-Gene
51,726,Gene-Gene
51,727,Gene-Gene
51,728,Gene-Gene
51,731,Gene-Gene
52,725,Gene-Gene
52,726,Gene-Gene
52,727,Gene-Gene
52,728,Gene-Gene
52,731,Gene-Gene
53,725,Gene-Gene
53,726,Gene-Gene
