src,dest,EdgeType
ACTB,MYL6,Gene-Gene
ACTB,MYL6B,Gene-Gene
ACTB,MYL9,Gene-Gene
ACTB,STK3,Gene-Gene
ACTG1,MYL6,Gene-Gene
ACTG1,MYL6B,Gene-Gene
ACTG1,MYL9,Gene-Gene
ACTG1,STK3,Gene-Gene
ACVR1,ACVR2A,Gene-Gene
ACVR1,BMPR2,Gene-Gene
ACVR1,MAPK1,Gene-Gene
ACVR1,MAPK11,Gene-Gene
ACVR1,MAPK12,Gene-Gene
ACVR1,MAPK13,Gene-Gene
ACVR1,MAPK14,Gene-Gene
ACVR1,MAPK3,Gene-Gene
ACVR1,NEO1,Gene-Gene
ACVR1,SMAD1,Gene-Gene
ACVR1,SMAD2,Gene-Gene
ACVR1,SMAD3,Gene-Gene
ACVR1,SMAD5,Gene-Gene
ACVR1,SMAD9,Gene-Gene
ACVR1B,SMAD2,Gene-Gene
ACVR1B,SMAD3,Gene-Gene
ACVR1C,SMAD2,Gene-Gene
ACVR1C,SMAD3,Gene-Gene
ACVR2A,SMAD2,Gene-Gene
ACVR2A,SMAD3,Gene-Gene
ACVR2B,SMAD2,Gene-Gene
ACVR2B,SMAD3,Gene-Gene
ADAM17,NOTCH1,Gene-Gene
ADAM17,NOTCH2,Gene-Gene
ADAM17,NOTCH3,Gene-Gene
ADAM17,NOTCH4,Gene-Gene
ADCY1,PRKACA,Gene-Gene
ADCY1,PRKACB,Gene-Gene
ADCY1,PRKACG,Gene-Gene
ADCY2,PRKACA,Gene-Gene
ADCY2,PRKACB,Gene-Gene
ADCY2,PRKACG,Gene-Gene
ADCY3,PRKACA,Gene-Gene
ADCY3,PRKACB,Gene-Gene
ADCY3,PRKACG,Gene-Gene
ADCY4,PRKACA,Gene-Gene
ADCY4,PRKACB,Gene-Gene
ADCY4,PRKACG,Gene-Gene
ADCY5,PRKACA,Gene-Gene
ADCY5,PRKACB,Gene-Gene
ADCY5,PRKACG,Gene-Gene
ADCY6,PRKACA,Gene-Gene
ADCY6,PRKACB,Gene-Gene
ADCY6,PRKACG,Gene-Gene
ADCY7,PRKACA,Gene-Gene
ADCY7,PRKACB,Gene-Gene
ADCY7,PRKACG,Gene-Gene
ADCY8,PRKACA,Gene-Gene
ADCY8,PRKACB,Gene-Gene
ADCY8,PRKACG,Gene-Gene
ADCY9,PRKACA,Gene-Gene
ADCY9,PRKACB,Gene-Gene
ADCY9,PRKACG,Gene-Gene
ADCYAP1,ADCYAP1R1,Gene-Gene
ADCYAP1,ADORA2A,Gene-Gene
ADCYAP1,ADRB1,Gene-Gene
ADCYAP1,DRD1,Gene-Gene
ADCYAP1,DRD5,Gene-Gene
ADCYAP1,FSHR,Gene-Gene
ADCYAP1,GIPR,Gene-Gene
ADCYAP1,GLP1R,Gene-Gene
ADCYAP1,GPR119,Gene-Gene
ADCYAP1,HTR4,Gene-Gene
ADCYAP1,HTR6,Gene-Gene
ADCYAP1,LHCGR,Gene-Gene
ADCYAP1,MC2R,Gene-Gene
ADCYAP1,NPR1,Gene-Gene
ADCYAP1,PTGER2,Gene-Gene
ADCYAP1,TSHR,Gene-Gene
ADCYAP1,VIPR2,Gene-Gene
ADCYAP1R1,GNAS,Gene-Gene
ADIPOQ,ADIPOR1,Gene-Gene
ADIPOQ,ADIPOR2,Gene-Gene
ADIPOR1,CAMKK2,Gene-Gene
ADIPOR1,PPARA,Gene-Gene
ADIPOR1,STK11,Gene-Gene
ADIPOR2,CAMKK2,Gene-Gene
ADIPOR2,PPARA,Gene-Gene
ADIPOR2,STK11,Gene-Gene
ADORA1,GNAI1,Gene-Gene
ADORA1,GNAI2,Gene-Gene
ADORA1,GNAI3,Gene-Gene
ADORA2A,GNAL,Gene-Gene
ADORA2A,GNAQ,Gene-Gene
ADORA2A,GNAS,Gene-Gene
ADORA2B,GNAL,Gene-Gene
ADORA2B,GNAQ,Gene-Gene
ADORA2B,GNAS,Gene-Gene
ADORA3,GNAI1,Gene-Gene
ADORA3,GNAI2,Gene-Gene
ADORA3,GNAI3,Gene-Gene
ADRA1A,GNA11,Gene-Gene
ADRA1A,GNA12,Gene-Gene
ADRA1A,GNA13,Gene-Gene
ADRA1A,GNA14,Gene-Gene
ADRA1A,GNA15,Gene-Gene
ADRA1A,GNAQ,Gene-Gene
ADRA1A,PRKAA1,Gene-Gene
ADRA1A,PRKAA2,Gene-Gene
ADRA1A,PRKAB1,Gene-Gene
ADRA1A,PRKAB2,Gene-Gene
ADRA1A,PRKAG1,Gene-Gene
ADRA1A,PRKAG2,Gene-Gene
ADRA1A,PRKAG3,Gene-Gene
ADRA1A,TRPC6,Gene-Gene
ADRA1B,GNA11,Gene-Gene
ADRA1B,GNA12,Gene-Gene
ADRA1B,GNA13,Gene-Gene
ADRA1B,GNA14,Gene-Gene
ADRA1B,GNA15,Gene-Gene
