src,dest,EdgeType
ABL1,CRK,Gene-Gene
ABL1,CRKL,Gene-Gene
ABL1,NTRK1,Gene-Gene
ABL1,NTRK2,Gene-Gene
ABL1,NTRK3,Gene-Gene
ABL1,RIN1,Gene-Gene
ABL1,ABL1-METH,Gene-Gene-METH
ABL2,CRK,Gene-Gene
ABL2,CRKL,Gene-Gene
ABL2,RIN1,Gene-Gene
ABL2,ABL2-METH,Gene-Gene-METH
ACAA1,PPARA,Gene-Gene
ACAA1,RXRA,Gene-Gene
ACAA1,RXRB,Gene-Gene
ACAA1,RXRG,Gene-Gene
ACAA1,ACAA1-METH,Gene-Gene-METH
ACACA,PRKAA1,Gene-Gene
ACACA,PRKAA2,Gene-Gene
ACACA,PRKAB1,Gene-Gene
ACACA,PRKAB2,Gene-Gene
ACACA,PRKAG1,Gene-Gene
ACACA,PRKAG2,Gene-Gene
ACACA,PRKAG3,Gene-Gene
ACACA,SREBF1,Gene-Gene
ACACA,ACACA-METH,Gene-Gene-METH
ACACB,PRKAA1,Gene-Gene
ACACB,PRKAA2,Gene-Gene
ACACB,PRKAB1,Gene-Gene
ACACB,PRKAB2,Gene-Gene
ACACB,PRKAG1,Gene-Gene
ACACB,PRKAG2,Gene-Gene
ACACB,PRKAG3,Gene-Gene
ACACB,SREBF1,Gene-Gene
ACACB,ACACB-METH,Gene-Gene-METH
ACADL,PPARD,Gene-Gene
ACADL,RXRA,Gene-Gene
ACADL,RXRB,Gene-Gene
ACADL,RXRG,Gene-Gene
ACADL,ACADL-METH,Gene-Gene-METH
ACADM,PPARA,Gene-Gene
ACADM,RXRA,Gene-Gene
ACADM,RXRB,Gene-Gene
ACADM,RXRG,Gene-Gene
ACADM,ACADM-METH,Gene-Gene-METH
ACOX1,PPARA,Gene-Gene
ACOX1,PPARD,Gene-Gene
ACOX1,RXRA,Gene-Gene
ACOX1,RXRB,Gene-Gene
ACOX1,RXRG,Gene-Gene
ACOX1,ACOX1-METH,Gene-Gene-METH
ACOX2,PPARA,Gene-Gene
ACOX2,PPARD,Gene-Gene
ACOX2,RXRA,Gene-Gene
ACOX2,RXRB,Gene-Gene
ACOX2,RXRG,Gene-Gene
ACOX2,ACOX2-METH,Gene-Gene-METH
ACOX3,PPARA,Gene-Gene
ACOX3,PPARD,Gene-Gene
ACOX3,RXRA,Gene-Gene
ACOX3,RXRB,Gene-Gene
ACOX3,RXRG,Gene-Gene
ACOX3,ACOX3-METH,Gene-Gene-METH
ACSBG1,PPARA,Gene-Gene
ACSBG1,PPARG,Gene-Gene
ACSBG1,RXRA,Gene-Gene
ACSBG1,RXRB,Gene-Gene
ACSBG1,RXRG,Gene-Gene
ACSBG1,ACSBG1-METH,Gene-Gene-METH
ACSBG2,PPARA,Gene-Gene
ACSBG2,PPARG,Gene-Gene
ACSBG2,RXRA,Gene-Gene
ACSBG2,RXRB,Gene-Gene
ACSBG2,RXRG,Gene-Gene
ACSBG2,ACSBG2-METH,Gene-Gene-METH
ACSL1,PPARA,Gene-Gene
ACSL1,PPARG,Gene-Gene
ACSL1,RXRA,Gene-Gene
ACSL1,RXRB,Gene-Gene
ACSL1,RXRG,Gene-Gene
ACSL1,ACSL1-METH,Gene-Gene-METH
ACSL3,PPARA,Gene-Gene
ACSL3,PPARG,Gene-Gene
ACSL3,RXRA,Gene-Gene
ACSL3,RXRB,Gene-Gene
ACSL3,RXRG,Gene-Gene
ACSL3,ACSL3-METH,Gene-Gene-METH
ACSL4,PPARA,Gene-Gene
ACSL4,PPARG,Gene-Gene
ACSL4,RXRA,Gene-Gene
ACSL4,RXRB,Gene-Gene
ACSL4,RXRG,Gene-Gene
ACSL4,ACSL4-METH,Gene-Gene-METH
ACSL5,PPARA,Gene-Gene
ACSL5,PPARG,Gene-Gene
ACSL5,RXRA,Gene-Gene
ACSL5,RXRB,Gene-Gene
ACSL5,RXRG,Gene-Gene
ACSL5,ACSL5-METH,Gene-Gene-METH
ACSL6,PPARA,Gene-Gene
ACSL6,PPARG,Gene-Gene
ACSL6,RXRA,Gene-Gene
ACSL6,RXRB,Gene-Gene
ACSL6,RXRG,Gene-Gene
ACSL6,ACSL6-METH,Gene-Gene-METH
ACTA2,SMAD2,Gene-Gene
ACTA2,SMAD3,Gene-Gene
ACTA2,SMAD4,Gene-Gene
ACTA2,ACTA2-METH,Gene-Gene-METH
ACTB,CDC42,Gene-Gene
ACTB,ENAH,Gene-Gene
ACTB,EVL,Gene-Gene
ACTB,MYL6,Gene-Gene
ACTB,MYL6B,Gene-Gene
ACTB,MYL9,Gene-Gene
ACTB,PFN1,Gene-Gene
ACTB,PFN2,Gene-Gene
ACTB,PFN3,Gene-Gene
ACTB,PFN4,Gene-Gene
ACTB,RHOA,Gene-Gene
ACTB,STK3,Gene-Gene
ACTB,THRA,Gene-Gene
ACTB,VASP,Gene-Gene
ACTB,ACTB-METH,Gene-Gene-METH
ACTG1,CDC42,Gene-Gene
ACTG1,ENAH,Gene-Gene
ACTG1,EVL,Gene-Gene
ACTG1,MYL6,Gene-Gene
ACTG1,MYL6B,Gene-Gene
ACTG1,MYL9,Gene-Gene
ACTG1,PFN1,Gene-Gene
ACTG1,PFN2,Gene-Gene
ACTG1,PFN3,Gene-Gene
ACTG1,PFN4,Gene-Gene
ACTG1,RHOA,Gene-Gene
ACTG1,STK3,Gene-Gene
ACTG1,THRA,Gene-Gene
ACTG1,VASP,Gene-Gene
ACTG1,ACTG1-METH,Gene-Gene-METH
ACVR1,ACVR2A,Gene-Gene
ACVR1,BAMBI,Gene-Gene
ACVR1,BMP2,Gene-Gene
ACVR1,BMP4,Gene-Gene
ACVR1,BMP6,Gene-Gene
ACVR1,BMPR2,Gene-Gene
ACVR1,INHBB,Gene-Gene
ACVR1,MAPK1,Gene-Gene
ACVR1,MAPK11,Gene-Gene
ACVR1,MAPK12,Gene-Gene
ACVR1,MAPK13,Gene-Gene
ACVR1,MAPK14,Gene-Gene
ACVR1,MAPK3,Gene-Gene
ACVR1,NEO1,Gene-Gene
ACVR1,RGMA,Gene-Gene
ACVR1,RGMB,Gene-Gene
ACVR1,SMAD1,Gene-Gene
ACVR1,SMAD2,Gene-Gene
ACVR1,SMAD3,Gene-Gene
ACVR1,SMAD5,Gene-Gene
ACVR1,SMAD9,Gene-Gene
ACVR1,ACVR1-METH,Gene-Gene-METH
ACVR1B,BAMBI,Gene-Gene
ACVR1B,INHBA,Gene-Gene
ACVR1B,INHBB,Gene-Gene
ACVR1B,INHBC,Gene-Gene
ACVR1B,INHBE,Gene-Gene
ACVR1B,NODAL,Gene-Gene
ACVR1B,SMAD2,Gene-Gene
ACVR1B,SMAD3,Gene-Gene
ACVR1B,ACVR1B-METH,Gene-Gene-METH
ACVR1C,INHBA,Gene-Gene
ACVR1C,INHBB,Gene-Gene
ACVR1C,INHBC,Gene-Gene
ACVR1C,INHBE,Gene-Gene
ACVR1C,NODAL,Gene-Gene
ACVR1C,SMAD2,Gene-Gene
ACVR1C,SMAD3,Gene-Gene
ACVR1C,ACVR1C-METH,Gene-Gene-METH
ACVR2A,ACVR1,Gene-Gene
ACVR2A,BMPR1A,Gene-Gene
ACVR2A,BMPR1B,Gene-Gene
ACVR2A,INHBA,Gene-Gene
ACVR2A,INHBB,Gene-Gene
ACVR2A,INHBC,Gene-Gene
ACVR2A,INHBE,Gene-Gene
ACVR2A,NODAL,Gene-Gene
ACVR2A,SMAD2,Gene-Gene
ACVR2A,SMAD3,Gene-Gene
ACVR2A,ACVR2A-METH,Gene-Gene-METH
ACVR2B,INHBA,Gene-Gene
ACVR2B,INHBB,Gene-Gene
ACVR2B,INHBC,Gene-Gene
ACVR2B,INHBE,Gene-Gene
ACVR2B,NODAL,Gene-Gene
ACVR2B,SMAD2,Gene-Gene
ACVR2B,SMAD3,Gene-Gene
ACVR2B,ACVR2B-METH,Gene-Gene-METH
ADAM17,NOTCH1,Gene-Gene
ADAM17,NOTCH2,Gene-Gene
ADAM17,NOTCH3,Gene-Gene
ADAM17,NOTCH4,Gene-Gene
ADAM17,ADAM17-METH,Gene-Gene-METH
ADCY1,CALM1,Gene-Gene
ADCY1,CALM2,Gene-Gene
ADCY1,CALM3,Gene-Gene
ADCY1,CALML3,Gene-Gene
ADCY1,CALML4,Gene-Gene
ADCY1,CALML5,Gene-Gene
ADCY1,CALML6,Gene-Gene
ADCY1,CAMK2A,Gene-Gene
ADCY1,CAMK2B,Gene-Gene
ADCY1,CAMK2D,Gene-Gene
ADCY1,CAMK2G,Gene-Gene
ADCY1,CAMK4,Gene-Gene
ADCY1,GNAI1,Gene-Gene
ADCY1,GNAI2,Gene-Gene
ADCY1,GNAI3,Gene-Gene
ADCY1,GNAL,Gene-Gene
ADCY1,GNAO1,Gene-Gene
ADCY1,GNAS,Gene-Gene
ADCY1,GNB1,Gene-Gene
ADCY1,GNB2,Gene-Gene
ADCY1,GNB3,Gene-Gene
ADCY1,GNB4,Gene-Gene
ADCY1,GNB5,Gene-Gene
ADCY1,GNG10,Gene-Gene
ADCY1,GNG11,Gene-Gene
ADCY1,GNG12,Gene-Gene
ADCY1,GNG13,Gene-Gene
ADCY1,GNG2,Gene-Gene
ADCY1,GNG3,Gene-Gene
ADCY1,GNG4,Gene-Gene
ADCY1,GNG5,Gene-Gene
ADCY1,GNG7,Gene-Gene
ADCY1,GNG8,Gene-Gene
ADCY1,GNGT1,Gene-Gene
ADCY1,GNGT2,Gene-Gene
ADCY1,PRKACA,Gene-Gene
ADCY1,PRKACB,Gene-Gene
ADCY1,PRKACG,Gene-Gene
ADCY1,PRKCD,Gene-Gene
ADCY1,ADCY1-METH,Gene-Gene-METH
ADCY10,GNAI1,Gene-Gene
ADCY10,GNAI2,Gene-Gene
ADCY10,GNAI3,Gene-Gene
ADCY10,GNB1,Gene-Gene
ADCY10,GNB2,Gene-Gene
ADCY10,GNB3,Gene-Gene
ADCY10,GNB4,Gene-Gene
ADCY10,GNB5,Gene-Gene
ADCY10,GNG10,Gene-Gene
ADCY10,GNG11,Gene-Gene
ADCY10,GNG12,Gene-Gene
ADCY10,GNG13,Gene-Gene
ADCY10,GNG2,Gene-Gene
ADCY10,GNG3,Gene-Gene
ADCY10,GNG4,Gene-Gene
ADCY10,GNG5,Gene-Gene
ADCY10,GNG7,Gene-Gene
ADCY10,GNG8,Gene-Gene
ADCY10,GNGT1,Gene-Gene
ADCY10,GNGT2,Gene-Gene
ADCY10,ADCY10-METH,Gene-Gene-METH
ADCY2,CALM1,Gene-Gene
ADCY2,CALM2,Gene-Gene
ADCY2,CALM3,Gene-Gene
ADCY2,CALML3,Gene-Gene
ADCY2,CALML4,Gene-Gene
ADCY2,CALML5,Gene-Gene
ADCY2,CALML6,Gene-Gene
ADCY2,CAMK2A,Gene-Gene
ADCY2,CAMK2B,Gene-Gene
ADCY2,CAMK2D,Gene-Gene
ADCY2,CAMK2G,Gene-Gene
ADCY2,CAMK4,Gene-Gene
ADCY2,GNAI1,Gene-Gene
ADCY2,GNAI2,Gene-Gene
ADCY2,GNAI3,Gene-Gene
ADCY2,GNAL,Gene-Gene
ADCY2,GNAO1,Gene-Gene
ADCY2,GNAS,Gene-Gene
ADCY2,GNB1,Gene-Gene
ADCY2,GNB2,Gene-Gene
ADCY2,GNB3,Gene-Gene
ADCY2,GNB4,Gene-Gene
ADCY2,GNB5,Gene-Gene
ADCY2,GNG10,Gene-Gene
ADCY2,GNG11,Gene-Gene
ADCY2,GNG12,Gene-Gene
ADCY2,GNG13,Gene-Gene
ADCY2,GNG2,Gene-Gene
ADCY2,GNG3,Gene-Gene
ADCY2,GNG4,Gene-Gene
ADCY2,GNG5,Gene-Gene
ADCY2,GNG7,Gene-Gene
ADCY2,GNG8,Gene-Gene
ADCY2,GNGT1,Gene-Gene
ADCY2,GNGT2,Gene-Gene
ADCY2,PRKACA,Gene-Gene
ADCY2,PRKACB,Gene-Gene
ADCY2,PRKACG,Gene-Gene
ADCY2,PRKCD,Gene-Gene
ADCY2,ADCY2-METH,Gene-Gene-METH
ADCY3,CALM1,Gene-Gene
ADCY3,CALM2,Gene-Gene
ADCY3,CALM3,Gene-Gene
ADCY3,CALML3,Gene-Gene
ADCY3,CALML4,Gene-Gene
ADCY3,CALML5,Gene-Gene
ADCY3,CALML6,Gene-Gene
ADCY3,CAMK2A,Gene-Gene
ADCY3,CAMK2B,Gene-Gene
