src,dest,EdgeType
0,405,Gene-Gene
0,406,Gene-Gene
0,1331,Gene-Gene
0,1332,Gene-Gene
0,1333,Gene-Gene
0,1675,Gene-Gene
0,2061,Gene-Gene-METH
1,405,Gene-Gene
1,406,Gene-Gene
1,1675,Gene-Gene
1,2062,Gene-Gene-METH
2,1490,Gene-Gene
2,1719,Gene-Gene
2,1720,Gene-Gene
2,1721,Gene-Gene
2,2063,Gene-Gene-METH
3,1540,Gene-Gene
3,1541,Gene-Gene
3,1542,Gene-Gene
3,1543,Gene-Gene
3,1547,Gene-Gene
3,1548,Gene-Gene
3,1549,Gene-Gene
3,1837,Gene-Gene
3,2064,Gene-Gene-METH
4,1540,Gene-Gene
4,1541,Gene-Gene
4,1542,Gene-Gene
4,1543,Gene-Gene
4,1547,Gene-Gene
4,1548,Gene-Gene
4,1549,Gene-Gene
4,1837,Gene-Gene
4,2065,Gene-Gene-METH
5,1491,Gene-Gene
5,1719,Gene-Gene
5,1720,Gene-Gene
5,1721,Gene-Gene
5,2066,Gene-Gene-METH
6,1490,Gene-Gene
6,1719,Gene-Gene
6,1720,Gene-Gene
6,1721,Gene-Gene
6,2067,Gene-Gene-METH
7,1490,Gene-Gene
7,1491,Gene-Gene
7,1719,Gene-Gene
7,1720,Gene-Gene
7,1721,Gene-Gene
7,2068,Gene-Gene-METH
8,1490,Gene-Gene
8,1491,Gene-Gene
8,1719,Gene-Gene
8,1720,Gene-Gene
8,1721,Gene-Gene
8,2069,Gene-Gene-METH
9,1490,Gene-Gene
9,1491,Gene-Gene
9,1719,Gene-Gene
9,1720,Gene-Gene
9,1721,Gene-Gene
9,2070,Gene-Gene-METH
10,1490,Gene-Gene
10,1492,Gene-Gene
10,1719,Gene-Gene
10,1720,Gene-Gene
10,1721,Gene-Gene
10,2071,Gene-Gene-METH
11,1490,Gene-Gene
11,1492,Gene-Gene
11,1719,Gene-Gene
11,1720,Gene-Gene
11,1721,Gene-Gene
11,2072,Gene-Gene-METH
12,1490,Gene-Gene
12,1492,Gene-Gene
12,1719,Gene-Gene
12,1720,Gene-Gene
12,1721,Gene-Gene
12,2073,Gene-Gene-METH
13,1490,Gene-Gene
13,1492,Gene-Gene
13,1719,Gene-Gene
13,1720,Gene-Gene
13,1721,Gene-Gene
13,2074,Gene-Gene-METH
14,1490,Gene-Gene
14,1492,Gene-Gene
14,1719,Gene-Gene
14,1720,Gene-Gene
14,1721,Gene-Gene
14,2075,Gene-Gene-METH
15,1490,Gene-Gene
15,1492,Gene-Gene
15,1719,Gene-Gene
15,1720,Gene-Gene
15,1721,Gene-Gene
15,2076,Gene-Gene-METH
16,1490,Gene-Gene
16,1492,Gene-Gene
16,1719,Gene-Gene
16,1720,Gene-Gene
16,1721,Gene-Gene
16,2077,Gene-Gene-METH
17,1800,Gene-Gene
17,1801,Gene-Gene
17,1802,Gene-Gene
17,2078,Gene-Gene-METH
18,329,Gene-Gene
18,573,Gene-Gene
18,593,Gene-Gene
18,1255,Gene-Gene
18,1256,Gene-Gene
18,1257,Gene-Gene
18,1400,Gene-Gene
18,1401,Gene-Gene
18,1402,Gene-Gene
18,1403,Gene-Gene
18,1672,Gene-Gene
18,1857,Gene-Gene
18,1919,Gene-Gene
18,2002,Gene-Gene
18,2079,Gene-Gene-METH
19,329,Gene-Gene
19,573,Gene-Gene
19,593,Gene-Gene
19,1255,Gene-Gene
19,1256,Gene-Gene
19,1257,Gene-Gene
